event,gameplays,starts,completes,fails,lefts,total_starts,total_completes,total_fails
game-loading,832,831,793,0,27,831,793,0
level-1,804,803,514,44,70,1056,630,49
run-arcade,802,802,172,0,11,1047,265,0
level-2,514,513,300,62,75,630,368,73
mission-goals5,376,0,376,0,0,0,376,0
level-3,299,299,161,50,67,368,200,59
special-golden,231,231,190,70,14,405,287,101
mission-level4,168,0,168,0,0,0,168,0
mission-combo3,163,0,163,0,0,0,163,0
special-bonus,161,161,147,60,18,597,488,89
level-4,161,161,82,18,1,200,98,25
mission-bull3,106,0,106,0,0,0,106,0
special-moving,101,101,79,39,4,165,114,45
level-5,83,82,52,17,0,99,66,20
special-boss,83,83,48,37,6,108,58,44
level-6,52,52,31,10,7,66,42,10
unlock-kit:sky,52,0,52,0,0,0,52,0
mission-heart1,51,0,51,0,0,0,52,0
special-freekick,43,42,18,31,0,62,23,40
mission-score5k,38,0,38,0,0,0,38,0
unlock-ball:neon,32,0,32,0,0,0,32,0
level-7,31,30,13,15,2,41,16,20
mission-golden2,26,0,26,0,0,0,26,0
unlock-striker:bounce,26,0,26,0,0,0,26,0
unlock-boots:blaze,26,0,26,0,0,0,26,0
unlock-kit:zebra,22,0,22,0,0,0,22,0
unlock-celebration:celebrate_victory,22,0,22,0,0,0,22,0
unlock-striker:blaze,18,0,18,0,0,0,18,0
level-8,13,13,4,4,0,16,5,5
unlock-kit:forest,11,0,11,0,0,0,11,0
level-10,6,1,5,1,0,1,6,1
run-daily,6,6,5,0,0,8,6,0
unlock-celebration:celebrate_heart,5,0,5,0,0,0,5,0
mission-freekick1,4,0,4,0,0,0,4,0
level-9,4,4,1,3,0,5,1,4
unlock-ball:ruby,4,0,4,0,0,0,4,0
unlock-boots:gold,3,0,3,0,0,0,3,0
unlock-kit:lava,3,0,3,0,0,0,3,0
unlock-striker:swift,2,0,2,0,0,0,2,0
mission-woodwork1,2,0,2,0,0,0,2,0
mission-level7,2,0,2,0,0,0,2,0
mission-boss1,2,0,2,0,0,0,2,0
unlock-kit:bubblegum,1,0,1,0,0,0,1,0
